Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
832751P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832752P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832753P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832754P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832757P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832758P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832759P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832760P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832763P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832764P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832765P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832766P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832767P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832768P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832770P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832771P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832773P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832775P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832776P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
832777P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
845003    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y KIRKOSWALD R,Keyword: PROGRESS RESIDENTIAL
849925    0202500000000,PROGRESS RESIDENTIAL BORROWER 23 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y N HEATHERWILDE B,Keyword: PROGRESS RESIDENTIAL
852615    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y HENNEMAN D,Keyword: PROGRESS RESIDENTIAL
860912    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y SHIRE S,Keyword: AMERICAN HOMES 4 RENT
879774    0202500000000,AH4R PROPERTIES LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y ANDREW JOHNSON D,Keyword: AH4R
879797    0202500000000,AH4R PROPERTIES LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y WOODROW WILSON S,Keyword: AH4R
879807    0202500000000,AH4R PROPERTIES LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y W T GALLAWAY S,Keyword: AH4R
881490    0202500000000,AH4R PROPERTIES TWO LLC F000000000000,23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y FIRESIDE CHAT S,Keyword: AH4R
883135    0202500000000,BOSSUNG JACK F000000000000,5805 GERARD DR AUSTIN TX 787445908 F,Y GERARD D,Keyword: AMERICAN HOMES 4 RENT
883143    0202500000000,HERR CONNOR SAMUEL F000000000000,5601 GERARD DR AUSTIN TX 787445906 F,Y GERARD D,Keyword: AMERICAN HOMES 4 RENT
883171    0202500000000,DESANTIAGO JESSICA N F000000000000,8104 TURNBERRY LN AUSTIN TX 787445901 F,Y TURNBERRY L,Keyword: AMERICAN HOMES 4 RENT
883173    0202500000000,AMERICAN HOMES 4 RENT TRS LLC F000000000000,23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y TURNBERRY L,Keyword: AMERICAN HOMES 4 RENT
883181    0202500000000,GONZALEZ ADULFA SANTIBANEZ F000000000000,8021 TURNBERRY LN AUSTIN TX 787445900 F,Y TURNBERRY L,Keyword: AMERICAN HOMES 4 RENT
883183    0202500000000,MARTINEZ RICHARD CHARLES & F000000000000,ROSIE DAVILA 8105 TURNBERRY LN AUSTIN TX 787445901 F,Y TURNBERRY L,Keyword: AMERICAN HOMES 4 RENT
883196    0202500000000,JIMENEZ STEVEN PAUL JR F000000000000,8008 DAMPTON LN AUSTIN TX 787445914 F,Y DAMPTON L,Keyword: AMERICAN HOMES 4 RENT
883197    0202500000000,FOLMAR SHAWN F000000000000,8006 DAMPTON LN AUSTIN TX 787445914 F,Y DAMPTON L,Keyword: AMERICAN HOMES 4 RENT
883202    0202500000000,PARSONS KEALAN F000000000000,5601 WINDMIER CIR DALLAS TX 752525006 F,Y DAMPTON L,Keyword: AMERICAN HOMES 4 RENT
883207    0202500000000,AMERICAN HOMES 4 RENT TRS LLC F000000000000,23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y DAMPTON L,Keyword: AMERICAN HOMES 4 RENT
883209    0202500000000,AMERICAN HOMES 4 RENT TRS LLC F000000000000,23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y DAMPTON L,Keyword: AMERICAN HOMES 4 RENT
883221    0202500000000,AMERICAN HOMES 4 RENT TRS LLC F000000000000,23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y COTTAGE ROSE D,Keyword: AMERICAN HOMES 4 RENT
883222    0202500000000,AMERICAN HOMES 4 RENT TRS LLC F000000000000,23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y COTTAGE ROSE D,Keyword: AMERICAN HOMES 4 RENT
